relpath	datechange	family	optype	familyoptype	label	example	topic	nodex	nodey	text
CHOP/audiodeviceoutCHOP/example1	170101	CHOP	audiodeviceoutCHOP	CHOP/audiodeviceoutCHOP	Audio Device Out	1	volume pops	50	50	Making audio not pop when you adjust volume is a necessity. If you just attach a slider to a Math CHOP (via export, expression, or as an input to the Math CHOP), will make it pop as the audio samples jump from say .7 to .4 in one step.To demonstrate popping, bypass timeslice1 and play with adjustSlider. Then un-bypass timeslice1 and ply with adjustSlider.This method interpolates the volume control of the audio rate (735 samples per frame (T 60 Hz)), meaning that at the start of a frame it is v0 and at the end of aframe, 735 samples later it is v1. WHen thisn is multiplied against the audio wave, then the audio wave rises or falls cloothly over  the course of 1/60 seconds.Timeslice is set to interploate the  slider linearly.Audio Device Out is set to NOT cook every frame so when you are not looking at this demo, it's not outputting audio.
CHOP/audiodeviceoutCHOP/example2	170101	CHOP	audiodeviceoutCHOP	CHOP/audiodeviceoutCHOP	Audio Device Out	2	audiodevout optimize	300	50	This uses a script to turn off/on the Active parameter of the Audio Device Out CHOP, which stops all cooking upstream when this network is not being displayed (like when you are in Perform Mode).  It's most optimized that when Volume is 0, that you turn Active off too.You can also turn Active off/on too by exporting 0 or 1 to that parameter.
CHOP/audiodynamicsCHOP/example1	170101	CHOP	audiodynamicsCHOP	CHOP/audiodynamicsCHOP	Audio Dynamics	1	mix sounds	50	50	WHen you mix multiple sounds together, it is likely that you will exceed values -1 to + 1.Unbypass audiodyn1.In this case we are simply adding left-right channels of 2 sources into 1 channel, and applying a gain to the sonar sound.Bypass audiodyna1 to hear the overloaded mix. Audio Dynamics manages it down to -1 to +1. 
CHOP/audiodynamicsCHOP/example2	170101	CHOP	audiodynamicsCHOP	CHOP/audiodynamicsCHOP	Audio Dynamics	2	crank to max	300	50	Push audio at low levels to be always loud. First push the amplitude high, then the Audio Dynamics manage it down to -1 to +1.The volume is artificially being pushed up and down by the LFO CHOP.Listen to select1 (bypass audiodyn1) to see how much the levels are varying. Then listen again to audiodyn1.The info1 CHOP shows how much the audio is being compressed and limited.
CHOP/audiofileinCHOP/example1	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	1	sequential mode	50	50	This audio file will play itself regardless of the main timeline.Turn on Active to hear it.
CHOP/audiofileinCHOP/example2	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	2	locked to timeline	300	50	This audio file's index is locked to the main timeline.Turn on Active to hear it.Try scrubbing through the timeline while listening to the audio.We use the timeline less these days, and prefer Sequential or Specify Index.
CHOP/audiofileinCHOP/example3	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	3	specify index	550	50	This audio file's index is being manually driven by the Speed CHOP.Turn on Active to hear it.The Speed CHOP is counting up by 1 every second, which plays the audio at normal speed.
CHOP/audiofileinCHOP/example4	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	4	play cue	800	50	This is an example of how to cue and play and audio file.  It cues to 3 seconds into the file.
CHOP/audiofileinCHOP/example5	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	5	trim	1050	50	The trimming function here keeps the audio file looping between seconds 4 and 5 of the file, which is 44100 samples long once it's trimmed.The file itself is not changed.
CHOP/audiofileinCHOP/example6	170101	CHOP	audiofileinCHOP	CHOP/audiofileinCHOP	Audio File In	6	envelope on sound file	1280	50	This plays a file with a certain amplitude envelope for about 6 seconds, then when done, it re-initializes at time 0 to get ready for the next trigger
CHOP/audiofilterCHOP/example1	170101	CHOP	audiofilterCHOP	CHOP/audiofilterCHOP	Audio Filter	1	opposite filters	50	50	One ear hears what the other doesn't.Connect merge_opp1 to the Audio Device Out, move slider. Left is the opposite part of the spectrum vs right.Connect merge_opp2 to the Audio Device Out, move slider.  Part of the spectrum is moved to the opposite ear,
CHOP/audiofilterCHOP/example2	170101	CHOP	audiofilterCHOP	CHOP/audiofilterCHOP	Audio Filter	2	hi freq cutoff	300	50	The second input on the Audio Filter CHOP is used to drive some parameters at higher frequency than an exported CHOP can on the parameter, or a CHOP expression. These are limited by the frame rate of the timeline, default 60. If you want to modulate the cutoff frequency at say 1000 cycles per second, you need to feed the Audio Filter CHOP's second input a channel that's called cutofffrequency, at a high sample rate. In the case of the LFO CHOP, it is set to 8000 samples per second, and as you can see from the graph, there are about 120 samples per frame.This distorts the audio a lot, pleasing at some combinations of the 2 sliders and the Filter Cutoff parameter of teh Audio Filter CHOP.Then send audioosci_sine to the filter via null1.Try it wuth LFO set to a Square Wave.If you are up for it, try the white noise in the Audio Oscillator CHOP.
CHOP/audiomovieCHOP/example1	211122	CHOP	audiomovieCHOP	CHOP/audiomovieCHOP	Audio Movie	1	play audio of a movie	60	40	The Audio Movie CHOP plays the audio of a movie file that is played back with a Movie File In TOP.Turn on the Active parameter of the Audio Device Out CHOP to hear the sound.You can optionally add an Info CHOP to get info on the embedded audio.
CHOP/audiooscillatorCHOP/example1	170101	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	1	waveforms	50	50	Try the various waveforms (Type) and various Base Frequencies. (First un-bypass the Audio Device Out CHOP.)Try -2, -1, 0, 1, 2 in the Constant CHOP. Each step is an octave relative to the Base Frequency.Then try 0, 1/12, 2/12 etc in the Constant CHOP - each step of 1/12 is a "semitone" higher than its predecessor (one note up on a conventional keyboard). 12/12 = 1 is an octave, helping to de-mystify the 12-note scale.7/12 is 7 semitones, called a "fifth", and is almost 50% higher in frequency than the Base Frequency, giving it a pleasant relation to the base frequency, and pleasant to the ear.Connecting lag1 to the oscillator first input gives a 2-octave glissando.
CHOP/audiooscillatorCHOP/example2	170101	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	2	white and pink noise	300	50	Audio Oscillator generates fully random (white) noise.Then to get "pink" noise, you need to filter it and remove some frequencies.
CHOP/audiooscillatorCHOP/example3	170101	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	3	oscillator	550	50	Simple example routing a sine wave to an Audio Device Out CHOP.Also has sliders to control pitch and alising. This uses a script to turn off/on the Active parameter of the Audio Device Out CHOP, which stops all cooking upstream when this network is not being displayed (like when you are in Perform Mode).  See the Audio Device Out CHOP snippets.
CHOP/audiooscillatorCHOP/example4	170101	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	4	playback source	800	50	The oscillator here samples and loops a small portion of the input file.
CHOP/audiooscillatorCHOP/example5	170101	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	5	envelope	1050	50	Click Trigger Pulse on trigger1.
CHOP/audiooscillatorCHOP/example6	190701	CHOP	audiooscillatorCHOP	CHOP/audiooscillatorCHOP	Audio Oscillator	6	frequehncy in	1300	45	If you want the input to be the frequency in Hz, you have to convert it to octaves.Ther octave is log to the base 2 of the frequency divided by the base frequency in the Audio Oscillator CHOP:   log((freq/440), 2.)The rename is not needed.
CHOP/audioparaeqCHOP/example1	170101	CHOP	audioparaeqCHOP	CHOP/audioparaeqCHOP	Audio Para EQ	1	djmix	50	50	typical dj mixer filter
CHOP/audioplayCHOP/example1	210901	CHOP	audioplayCHOP	CHOP/audioplayCHOP	Audio Play	1	DAT list play triggers	50	50	When using the Audio Play CHOP in DAT list playback mode, you can control basic playback when using multiple channels for the trigger input.In this example the Audio Play CHOP mode is it set to 'play while on' so it will play a file while its trigger channel is 1.It will re-trigger when the corresponding channel goes from 0 to 1.Idzard Kwadijkkwadijk@idzard.com
CHOP/audioplayCHOP/example2	210901	CHOP	audioplayCHOP	CHOP/audioplayCHOP	Audio Play	2	DAT list play control	260	50	When using the Audio Play CHOP in DAT list playback mode, you can control playback through the play() and stop() methods of its audioplayCHOP_Class. This will give you more advanced control.Run scripts at the right to control playback of multiple audio files simultaneously.Idzard Kwadijkkwadijk@idzard.com
CHOP/audiorenderCHOP/example1	170101	CHOP	audiorenderCHOP	CHOP/audiorenderCHOP	Audio Render	1	source and listener	50	50	You feed an audio channel to Audio Render, it is associated with the Source object's position (the throbbing sphere), and it will generate the number of channels that is implicitly requested... binaual and stereo are two channels, for example.
CHOP/audiorenderCHOP/example2	250901	CHOP	audiorenderCHOP	CHOP/audiorenderCHOP	Audio Render	2	more advanced audio render	270	45	The Audio Render CHOP uses Simulation mode, which unlike Simple Positional allows for multiple sources and scene meshes (POPs/SOPs with multi-polygons).Enable audiodevout1 and select your desired device to hear the rendered audio.On the Audio Render CHOP, the SceneMesh has a transmission of 0 (ie. 0%), allowing for no transmission of sound through the wall.The Geometry component Wall contains a single Rectangle POP that forms a wall and is tied into the simulation on the Meshes page block 0.The Geometry component Source1 is positioned on a circular path that can be controlled using the SOUND SOURCE slider.  It is tied into the simulation as a Source on the Audio Render page block 0.As it passes beyond the wall, you can notice the effect the wall has on the sound when placed in between the listener and source. You can also play around with the absorption, scattering, and transmission values (on the Meshes page) to see how that effects the sound.Boundary surrounds the entire scene and helps demonstrate how reflections behave within the simulation. It is tied into the simulation on the Meshes page block 1.Baking is enabled for optimization purposes. Baking significantly lowers computation time for reflections and therefore will provide significantly lower cook times. Reflection Bake Mode is set to Auto, which means whenever there is a change in the simulation that require a re-bake, it will perform that. If playing around with a lot of parameters, it may be preferable to set to Off, or Manual mode, then bake as desired.To see the position of the baked probes in the camera, enable the display flag of datto1.
CHOP/audiospectrumCHOP/example1	170101	CHOP	audiospectrumCHOP	CHOP/audiospectrumCHOP	Audio Spectrum	1	spectrum	50	50	audiospect_nice is enhanced for viewing.THe CHOPs after it are 3 ways to get accurate or approximate averages for the spectrum split into 10 bands.audiospect3 goes to frequency and audiospect4 re-constructs the audio signal with virtually no error.
CHOP/audiospectrumCHOP/example2	200901	CHOP	audiospectrumCHOP	CHOP/audiospectrumCHOP	Audio Spectrum	2	samples to Hz	260	45	audiospect_raw in this example has a linear x-scale representing Hz. Its "Fraquency <> Logarithmic Scaling" parameter is set to 0 (Frequency).  In this mode, each sample represents some # of Hz (depending on the audio sample rate and the timeline frames per second). So sample 5000 is  5000 Hz times the number in the info_spectrum. The "range" CHOP specifies a low and high frequency range to extract. The Trim CHOP extracts that range of Hz.  But to get the Hz, its sample range on the x-axis needs to be multiplied by the Hz per sample.See also graphPlot in the Community Posts.
CHOP/audiovstCHOP/example1	220601	CHOP	audiovstCHOP	CHOP/audiovstCHOP	Audio VST	1	VST Hsot	50	50	See vstHost in the Palette for some examples on use of VST3 plugins in TouchDesigner.
CHOP/audiowebrenderCHOP/example1	220401	CHOP	audiowebrenderCHOP	CHOP/audiowebrenderCHOP	Audio Web Render	1	get audio from web page	50	50	To make it work, turn on Active, you may have to pulse Reload Source a few times to get bast the bot checker.The set Audio Options to "Route to Audio Web Render CHOP, and then Enable Media Stream on.example is the origin of the Phaser CHOP by David Braun.
CHOP/beatCHOP/example1	170101	CHOP	beatCHOP	CHOP/beatCHOP	Beat	1	bar	50	50	Produces a ramp that spans the bar and a pulse at the beginning of the bar
CHOP/beatCHOP/example2	170101	CHOP	beatCHOP	CHOP/beatCHOP	Beat	2	beat	300	50	Produces a sine wave that completes a full cycle over the coarse of a bar.The 'count' counts upward for every bar that passes.
CHOP/beatCHOP/example3	170101	CHOP	beatCHOP	CHOP/beatCHOP	Beat	3	bar1	550	50	The 'bar' counts up on start of the bar.'Beat' counts the number of breatsin a bar and loops back to 0 when the bar is complete.
CHOP/beatCHOP/example4	170101	CHOP	beatCHOP	CHOP/beatCHOP	Beat	4	offset	800	50	You're able to make multiple channels of the same output and then offest each one by a varying degree.
CHOP/beatCHOP/example5	170101	CHOP	beatCHOP	CHOP/beatCHOP	Beat	5	reset	1050	50	Resetting a Beat CHOP. sending the reset button's value to the resetpulse parameter of Beat CHOP will reset immediately whe reset goes from 0 to 1.You can also export to the Reset parameter, but the counting will start only when you release the reset button.
CHOP/bindCHOP/example1	211001	CHOP	bindCHOP	CHOP/bindCHOP	Bind	1	bind	50	50	simple two-way bind CHOP channel to parameter.In this example, the LFO is simulating the incoming values of an external device.By default, the button is toggled off.Notice how by changing the state of the three sliders, the value of the bindCHOP is updating.The channels of the bindCHOP were exported to the values of each slider using the "CHOP bind" method.Now, if you toggle the button on, you will see that both the bind CHOP values and sliders are updating.They might take some time before updating because of the Channel Pickup parameter of the bind CHOP, which avoid a value to update if it doesn't reach the current value the bind CHOP actor that is on the receiving end is at first.Turn off the Channel Pickup parameter of the bind CHOP and you will notice that it updates instantly.For additional informations on the bind CHOP such as using it's python callback, go to the TouchDesigner YouTube channel and watch the inSession video of February 2021.
CHOP/bindCHOP/example2	211001	CHOP	bindCHOP	CHOP/bindCHOP	Bind	2	bind multi-CHOP inputs	260	55	Produces a ramp that spans the bar and a pulIn this example, the LFO is simulating the incoming values of an external device.By default, the button is toggled off.Notice how by changing the state of the three sliders, the value of the bindCHOP is updating.The channels of the bindCHOP were exported to the values of each slider using the "CHOP bind" method.Now, if you toggle the button on, you will see that both the bind CHOP values and sliders are updating.They might take some time before updating because of the Channel Pickup parameter of the bind CHOP, which avoid a value to update if it doesn't reach the current value the bind CHOP actor that is on the receiving end is at first.Turn off the Channel Pickup parameter of the bind CHOP and you will notice that it updates instantly.For additional informations on the bind CHOP such as using it's python callback, go to the TouchDesigner YouTube channel and watch the inSession video of February 2021.se at the beginning of the bar
CHOP/bindCHOP/example3	211001	CHOP	bindCHOP	CHOP/bindCHOP	Bind	3	bind with python callbacks	470	55	work-in-progress
CHOP/blendCHOP/example1	170101	CHOP	blendCHOP	CHOP/blendCHOP	Blend	1	blend	50	50	In a Blend CHOP, the multiple  channels of input 1 are the blend weights for all the other inputs.In this example the sliders control how much each wave will be taken into account during the blend. In Proportianal, all three waves are blended proportionally, so you  always get a value between the three waves. When all three weights are 0,  it give a discontinuous result when one goes off-zero.With Differencing, it is preferable in  most cases. With weights at 0, it starts with the first wave and the other 2 channels are added to it depending on the the weighting channels.The Trim CHOPs make the weight channels 600 samples long (10 seconds) like the 3 wave CHOPs, as waves and weights are blended sample-by-sample.Experiment with different values and watch the output wave.
CHOP/blobtrackCHOP/example1	200510	CHOP	blobtrackCHOP	CHOP/blobtrackCHOP	Blob Track	1	1D motion	40	45	fakeData1 simulates an object moving back and forth in X in a rectangle -5 to +5.It simulates what a scanner would see from a distant point in -Y where one object is being occluded by another object.blobRender1 shows the process. The blob area in the Area of Interest, defined by the boulding box corner parameters.White is a dot for every X Y sample. fakeData1_ is 1000 samples long.The red dots are the centers of the detected blobs that are output from the CHOP. The red lines are actually boxes surrounding the points that are associated with the blob.The white lines at the top are excluded from the blob detection because they are outside the blob bounding box.Lost Blob Timeout was increased to alow for one blob going behind the other.
CHOP/blobtrackCHOP/example2	200510	CHOP	blobtrackCHOP	CHOP/blobtrackCHOP	Blob Track	2	2D motion	270	45	This is the kind of data one would expect from a radial scanner when the data is converted from its (distance, angle) form into a (x, y) form.Because the moving blob is going in a curved path, Max Blob Movement had to be raised to qualify as the same blob that went behind the stationary blob.(fakeData1 here is the same as fakeData1 in example1 but with radial toggle turned on.)
CHOP/bodytrackCHOP/example1	240901	CHOP	bodytrackCHOP	CHOP/bodytrackCHOP	Body Track	1	NVIDIA bodytrack	40	55	This is the NVIDIA body Track solution as part of their Maxine kit.It does a 2D solve (z=0), and tries to do a 3D solve as well.The coordinates of the detected features are given in u, v positions relative to the bottom-left corner of the input image. By default, the values range from 0 to 1, but the 'Aspect Correct' parameter can be enabled to scale the values so that they can be used as 3D coordinates while maintaining the aspect ratio of the original image.
CHOP/clipblenderCHOP/example1	200101	CHOP	clipblenderCHOP	CHOP/clipblenderCHOP	Clip Blender	1	clipblencer basics	50	50	This is an example of the clipblender working with the clip CHOP.  The clipblender is an animation clip player.  It loads animation from only clip CHOPs.You will see Quaternion attributes are applied if you look at the info for a clip CHOP vs it's input.The animation clips are retrieved from the humanoid FBX archive.The clipblender CHOP references an empty table DAT called sequence.  The clipblender works by reading the sequence DAT when its contents change - particularly when an row is added.  The row must contain a valid path to a clipCHOP.  When a valid clipCHOP is found with  animation The clipblender CHOP will load that new clip and blend it with the currently playing clip.  When the new clip has played through the clipBlender will look again in the sequence DAT for another clip to play.  If it doesnt find one then it will continuously loop the new clip until another clip request is made.To see this in action run the runAnimSequence dat. - Right click on the DAT and select Run Script from pop menu or just press CTRL R.The animation in this FBX example is not correctly setup for blending so the animation has discontinuties and is not blending.----Alternalte descriptopn:The "clipblender CHOP" has the ability to read animation data that is stored in "clip CHOP"s.  The clipblender CHOP requires a default animation to start.  This default animation will be loaded and played in a loop until the clipblender receives a request to play a new clip.New clip requests may be sent to the clipblender CHOP using a table DAT that contains a column of clip names, which server as a playlist for the clipblender to consume. When the table DAT - which in this example is called "sequence" - contains rows, and the clipblender is reaching the end of the clip it is currently playing, it will look to the DAT list for a next clip to play, which is to be found at the top of the list.When the clipblender CHOP loads the clip listed in DAT list, it will delete that row from the table.  This process will be repeated until the DAT List is empty.  When the DAT List is empty the clipblender will continue to loop the animation clip that it ended up on.The python method clipblenderCHOP.trigger() forces the clipblender to look into the DAT List immediately. Take notice of the "runAnimSequence" script DAT. The way this example works, is it will create an animation sequence in the DAT List table - ['clipPunch', 'clipShot', 'clipRun'].Once the sequence table is populated with valid clipCHOP names, the clipblender CHOP is triggered and the clipblender CHOP starts consuming clipCHOP names from the sequence table, playing each clip, then consuming the next one, until it empties the table.The clipblender will blend the animation based on the Blend Time and Next Blend Time.  The Blend Time is used when the specified clip chop is loaded when the clipblender is triggered.  The next Blend Time is used when the clip is currently being played and is ending and being blended with a new clip.  The current clip's "Next Blend Time" length is used to blend out of said clip into a new clip.The script can be run over and over to restart the process. -----Extra notes:The animation clips are selected out of the humanoid FBX component.  Notice on the Play page the animation parameter has a field drop menu parameter populated with "run", "punch" and "shot".  The FBX component Play Mode parameter is set to Output Full Range.  This permits the Import Select CHOP to extract an entire animation clip from the FBX archive.  Therefore animationRun, Punch and Shot are extracted into their own respective Import Select CHOPs.Its important to note that the clipblender CHOP requires all channels for each clip to match in order and channel name and number of channels. On closer inspection the animationRun CHOP has 263 channels while animationPunch and Shot have 353.  Therefore a trim and replace CHOP are used to match the length and channel order and naming for all chops.  Once cleaned and matching the channels are sent into the clip chops and are ready for playback in the clipblender.
CHOP/clockCHOP/example1	170101	CHOP	clockCHOP	CHOP/clockCHOP	Clock	1	clock convert	50	50	This converts seconds to time code break down.
CHOP/compositeCHOP/example1	170101	CHOP	compositeCHOP	CHOP/compositeCHOP	Composite	1	composite pair	50	50	See Splice CHOP also.
CHOP/constantCHOP/example1	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	1	multi channel	50	50	This example has 2  channels, both defined on the first page.
CHOP/constantCHOP/example2	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	2	patterns	300	45	You can create many channels at once using patterns in the  channel name parameter.
CHOP/constantCHOP/example3	211101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	3	fill repeat values	560	45	Some of the channels are on the other pages.
CHOP/constantCHOP/example4	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	4	multi sample	800	50	This example is 10 samples long, as defined on the Channel page.
CHOP/constantCHOP/example5	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	5	scripting	1050	50	A python expression to set the Constant CHOP value parameter to a certain number.Right click on textSetValue and select Run Script.
CHOP/constantCHOP/example6	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	6	snapshot	1300	50	This example shows how you can take a snapshot of an incoming value.THe Hold CHOP does something similar, without needing a script.
CHOP/constantCHOP/example7	170101	CHOP	constantCHOP	CHOP/constantCHOP	Constant	7	offset	1550	50	You can offset a Constant CHOP's output value by changes to the values coming in Input 1.Hold down the "1" key and then move the mouse in x.While "1" is down, any change to the first input  will be added to the output of the CHOP.When the "1" key is released, the Constant CHOP output value is stuffed into the parameter value.The result is smooth "relative value" changes.There are a few other ways to do this in CHOPs and DATs.
CHOP/constantCHOP/example8	220401	CHOP	constantCHOP	CHOP/constantCHOP	Constant	8	custom parameters a better way	1790	45	A lot of people use a Constant CHOP to hold their control data. But custom parameters are much better in several ways.- readable labels- default values (easy to reset to default via RMB)- slider goes in any range, not just 0-1- min/max clamping- integer controls can be strictly integers- toggles and pulses too, menus/strings too- multi-pages better- easy to re-order- section dividers- more standard way to set values with pythonTo get it outputting channels, use a Parameter CHOP inside.We love the Constant CHOP but maybe it's time to switch!
CHOP/copyCHOP/example1	230207	CHOP	copyCHOP	CHOP/copyCHOP	Copy	1	copy channel values	60	43	The Copy CHOP produces multiple copies of the second input along the timeline of the first input.The second input is copied at the first input's trigger points only. A trigger point occurs whenever the first input's channel crosses the Copy CHOP's Trigger Threshold value. In the node "merge_viewMe" you can see the pulse triggering the copies.
CHOP/copyCHOP/example2	230207	CHOP	copyCHOP	CHOP/copyCHOP	Copy	2	copy multiple channels	320	43	The Copy CHOP produces multiple copies of the second input along the timeline of the first input.The second input is copied at the first input's trigger points only. A trigger point occurs whenever the first input's channel crosses the Copy CHOP's Trigger Threshold value. The Copy CHOP can copy channels in two different modes:One Channel per Template Channel - Each output channel is a channel from the first input combined with the corresponding channel from the second input.One Channel per Copy Channel - Each output channel is a channel from the second input, with copies triggered by every channel of the first input.
CHOP/copyCHOP/example3	230207	CHOP	copyCHOP	CHOP/copyCHOP	Copy	3	copy values additively on threshold	580	43	The Copy CHOP copies the values of "dataChannel" additively onto the timeline of "triggerChannel".In this snippet a copy occurs whenever the triggerChannel crosses the 0.5 value. You can see this in the node "merge_viewMe".
CHOP/copyCHOP/example4	230207	CHOP	copyCHOP	CHOP/copyCHOP	Copy	4	copy stamping	840	43	The Copy CHOP copies the values of "dataChannel" additively onto the timeline of "triggerChannel".Stamping is enabled on the Copy CHOP. This means its second input is recooked for every copy. The Stamp parameters are also re-calculated for each copy.In this example the parameter "copySwitch" has a Python expression which makes it zero if me.copyIndex is even, and 1 when it's odd. This parameter is used in the upstream Switch CHOP, which has its index parameter set to the Python expression:fetchStamp("copySwitch",0)The result is for every copy the Switch CHOP outputs a different input.In the node "merge_viewMe" you can see the pulse triggering the copies.
CHOP/countCHOP/example1	170101	CHOP	countCHOP	CHOP/countCHOP	Count	1	count	50	50	A simple counting-up example with a reset button.Note that null_selective is set to cook "selective" where it only cooks downstream when the input channels are changing.
CHOP/countCHOP/example2	170101	CHOP	countCHOP	CHOP/countCHOP	Count	2	input	300	50	You can count in specific increments by using the 3rd input of the Count CHOP.
CHOP/countCHOP/example3	170101	CHOP	countCHOP	CHOP/countCHOP	Count	3	loop	550	50	An example of looping values.
CHOP/countCHOP/example4	170101	CHOP	countCHOP	CHOP/countCHOP	Count	4	clamp	800	50	This Count CHOP clamps at 10 on the top and 2 on the bottom.
CHOP/countCHOP/example5	170101	CHOP	countCHOP	CHOP/countCHOP	Count	5	while on	1050	50	This example counts up while the button is pressed.
CHOP/countCHOP/example6	170101	CHOP	countCHOP	CHOP/countCHOP	Count	6	timer	1300	50	This runs a script N seconds after the Start button is pressed.(The Timer CHOP is easier.)This triggers via "resetpulse".  The counting starts as soon as Start is pressed, not the frame after the release, as would be with the Reset input or the "reset" parameter.The script prints "yes" to the Dialogs -> Textport after N seconds.It doesn't matter what the input to the Count CHOP is - it will always count up, one unit per second - see its parameters.
CHOP/countCHOP/example7	170101	CHOP	countCHOP	CHOP/countCHOP	Count	7	time counter	1550	50	You can assign different operations to the different input states.In this example, the Count CHOP counts up while the button is off, and then resets when the button is clicked, without using the Reset input on the Count CHOP.The Timer CHOP can do this.
CHOP/countCHOP/example8	170101	CHOP	countCHOP	CHOP/countCHOP	Count	8	threshold	1775	50	This Count CHOP will only trigger when its threshold has been passed.In this example you need to hold the button down until the Filter CHOP has reached .75.
